"識別碼","店家名稱","城市","行政區","地址","電話","營業時間","核對狀態","來源網址","來源更新時間","擷取時間","網頁核對時間"
"Restaurant_376430000A_000378","全家福客家菜館三和館","桃園市","龍潭區","桃園市龍潭區三和里龍新路1016巷19號","(03)4802802","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:14:21+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000390","老頭擺客家菜","桃園市","龍潭區","桃園市龍潭區中正路三坑段546號","(03)4711359","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:15:49+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000391","大江屋客家美食館","桃園市","龍潭區","桃園市龍潭區三水里6鄰大北坑街1998巷65號","(03)4794547","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:19:44+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000393","石園活魚餐廳","桃園市","龍潭區","桃園市龍潭區佳安里文化路57-2號","(03)4712307","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:20:55+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000396","綠野鄉村湘菜館","桃園市","龍潭區","桃園市龍潭區中正路佳安段380號","(03)4714828","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:21:52+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000399","王朝湘菜活魚餐廳","桃園市","龍潭區","桃園市龍潭區佳安里文化路169-1號","(03)4713093","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:22:21+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000401","新龍泉花園餐廳","桃園市","龍潭區","桃園市龍潭區中正路三坑段768巷32號","(03)4711968","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:24:12+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000402","蔣府宴","桃園市","龍潭區","桃園市龍潭區高原路891號","(03)4716635","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:21:04+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000404","佳園活魚餐廳","桃園市","龍潭區","桃園市龍潭區中正路三坑段776號","(03)4711783","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:25:31+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000406","小橋流水活魚餐廳","桃園市","龍潭區","桃園市龍潭區佳安里文化路1095號","(03)4111003","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:25:49+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000408","北合活魚餐廳","桃園市","龍潭區","桃園市龍潭區龍源路大平段690巷2號","(03)4711168","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:26:17+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000412","金園活魚餐廳","桃園市","龍潭區","桃園市龍潭區佳安里十一份路208-1號","(03)4712791","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:26:33+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000413","祥和園活魚餐廳","桃園市","龍潭區","桃園市龍潭區中正路三坑段779號","(03)4713279","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:27:35+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000415","全家活魚餐廳","桃園市","龍潭區","桃園市龍潭區佳安里文化路138之1號","(03)4711990","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:29:37+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000425","大溪山水庭園餐廳","桃園市","大溪區","桃園市大溪區仁二街8號","(03)3075258","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:30:31+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000432","豆麥私房菜(阿義農莊)","桃園市","大溪區","桃園市大溪區復興路2段650號","(03)3825716","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:47:43+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000435","里長嬤碗粿","桃園市","大溪區","桃園市大溪區和平路79號","(03)3882258","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T16:00:13+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000439","達摩小吃店","桃園市","大溪區","桃園市大溪區中正路34號","(03)3884654","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T17:58:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000441","香草Amy手工乳酪蛋糕","桃園市","大溪區","桃園市大溪區復興路125號","(03)3887553","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T17:59:29+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000444","賴媽媽豆花","桃園市","大溪區","桃園市大溪區登龍路22號","(03)3889646","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:00:58+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000447","快樂天堂自家烘焙咖啡館","桃園市","大溪區","桃園市大溪區中正路41號","(03)3872059","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:06:23+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000448","解放咖啡館","桃園市","大溪區","桃園市大溪區中山路19號","(03)3871801","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:06:52+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000450","焦點咖啡","桃園市","大溪區","桃園市大溪區普濟路76-3號","(03)3882663","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:13:12+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000453","大房食品股份有限公司(大房豆干)","桃園市","大溪區","桃園市大溪區中正路46號","(03)3883457","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-18T16:45:29+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000455","萬里香食品廠","桃園市","大溪區","桃園市大溪區中央路123號","(03)3882007","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-18T16:56:20+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000458","萬友餐廳","桃園市","大溪區","桃園市大溪區東和路11號","(03)3882338","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:14:49+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000459","東湖活魚餐廳","桃園市","大溪區","桃園市大溪區環湖路二段600巷8號","(03)3884788","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:15:22+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000460","海宴餐廳","桃園市","大溪區","桃園市大溪區埔頂路1段320號","(03)3074336","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:15:47+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000461","溪友緣風味料理店","桃園市","大溪區","桃園市大溪區仁愛路9號","(03)3877769","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:17:39+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000463","金字塔三角湯圓","桃園市","大溪區","桃園市大溪區中央路181號","(03)3889724","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:20:11+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000464","福臨活魚餐廳","桃園市","大溪區","桃園市大溪區康莊路五段174號","(03)4712301","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:20:47+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000466","水源地餐廳","桃園市","大溪區","桃園市大溪區康莊路五段709號","(03)4712886","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T18:21:58+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000532","黃日香(股)公司","桃園市","大溪區","桃園市大溪區和平路56號","(03)3882055","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-20T17:46:58+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000533","桃園市農會","桃園市","蘆竹區","桃園市蘆竹區龍安街二段968號","(03)3791881","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-20T17:47:49+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000534","中祥食品工業(股)公司","桃園市","八德區","桃園市八德區廣福路613號","(03)3713688","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-21T17:11:59+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000542","阿金嫂傳統小吃","桃園市","八德區","桃園市八德區永福西街68之6號","(03)3662570","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:00:27+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000543","陳師兄素肉圓","桃園市","大溪區","桃園市大溪區慈湖路24-1號","(03)3879042","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:00:59+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000544","一力佳包子饅頭專賣店","桃園市","大溪區","桃園市大溪區慈湖路56號","(03)3878021","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:01:42+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000545","客味樓懷舊客家美食","桃園市","大溪區","桃園市大溪區新峰里三民路一段5號","(03)3825560","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:02:05+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000546","唐記米干","桃園市","平鎮區","桃園市平鎮區龍東路214號","(03)4162203","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:02:46+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000547","東北酸白菜火鍋","桃園市","桃園區","桃園市桃園區南平路88巷3號","(03)3556390","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:06:42+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000549","美香飲食","桃園市","桃園區","桃園市桃園區南豐街208號","(03)3324423","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:07:14+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000551","大方蘭州拉麵館","桃園市","桃園區","桃園市桃園區永安路389號之2","(03)3314193","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:07:50+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000553","夫妻肺片麻辣鍋","桃園市","桃園區","桃園市桃園區中正路1015號","(03)3579865","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:08:18+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000554","李太太海產料理店","桃園市","楊梅區","桃園市楊梅區瑞塘里萬大路116巷2號","(03)4813852","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:11:07+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000556","甘泉魚麵","桃園市","楊梅區","桃園市楊梅區四維路47號","(03)4821166","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:12:29+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000564","玉蘭活魚（原石蘭）","桃園市","龍潭區","桃園市龍潭區佳安里文化路1號旁(北區水資源局大草坪前)","(03)4712696","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-21T17:21:50+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000575","大園區良質米產銷第一班","桃園市","大園區","桃園市大園區和平里平南路133號","(03)3864600","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-21T17:22:39+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000579","新珍香餅舖","桃園市","中壢區","桃園市中壢區中平路146號","(03)4222653","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:13:45+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000582","星之戀咖啡美食館","桃園市","龍潭區","桃園市龍潭區三和里楊銅路二段712之1號","(03)4990049","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:14:16+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000587","觀天下景觀餐廳","桃園市","龍潭區","桃園市龍潭區楊銅路二段712號","(03)4990311","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:15:31+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000592","心蘭活魚餐廳","桃園市","龍潭區","桃園市龍潭區佳安里十一分路200號","(03)4713992","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:16:08+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000624","龍情花生軟糖(龍潭總店)","桃園市","龍潭區","桃園市龍潭區龍元路164號","(03)4896569","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-12-08T17:30:02+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000636","新屋區農會生鮮超市","桃園市","新屋區","桃園市新屋區中華路242號","(03)4772124","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-12-11T17:26:31+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000637","桑葚緣觀光果園","桃園市","龍潭區","桃園市龍潭區富華街三林段362巷18號","(03)4093386","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-12-12T17:08:18+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000638","卡司‧蒂菈樂園（金格觀光工廠）","桃園市","蘆竹區","桃園市蘆竹區大竹北路90-66號","(03)3133168","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-07-14T13:33:35+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000640","生生圓美食","桃園市","龍潭區","桃園市龍潭區大昌路一段169號","(03)4992881","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:17:27+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000642","香草蛋糕舖","桃園市","桃園區","桃園市桃園區民族路193號","(03)3349020","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:17:56+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000644","陳飛豬腳","桃園市","中壢區","桃園市中壢區義民路151號","(03)4948882","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-08-25T15:22:58+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000645","鳳月堂果樹園","桃園市","桃園區","桃園市桃園區中正五街223號","(03)3558715","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:19:13+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001480","提緣客家小館","桃園市","龍潭區","桃園市龍潭區上華里龍新新村54號(入口在中正路上華段112巷)","(03)4796088","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:23:20+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001481","亨味食堂","桃園市","龍潭區","桃園市龍潭區民治十六街87巷25號(石門山勞工育樂中心旁)","(03)4111000","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:23:43+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001483","大楊梅鵝莊 龍潭分店","桃園市","龍潭區","桃園市龍潭區上林里神龍路96巷2號","(03)4806330","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:24:54+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001484","錦家御宴","桃園市","中壢區","桃園市中壢區中山路88號B1","(03)4272997","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:25:22+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001485","Amour 阿沐(原 茂園和漢美食館)","桃園市","平鎮區","桃園市平鎮區延平路二段371號","(03)4951375","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:27:59+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001486","品傑首烏御膳館","桃園市","中壢區","桃園市中壢區環北路435號","(03)4622799","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:28:56+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001487","友福花園農莊","桃園市","新屋區","桃園市新屋區下田里中山西路二段602號","(03)4862567","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:30:42+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001489","大中壢鵝莊","桃園市","平鎮區","桃園市平鎮區民族路二段133號","(03)4922287","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:31:14+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_001490","善園客家小館","桃園市","平鎮區","桃園市平鎮區環南路三段315號","(03)4683392","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:31:31+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
